"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"173","","52","Monkoto","MON","83/101","4","","","","","B","","","","o","","Luilaka","","Wotzka 1995: 505 Pl. 71.6"
"88","526","53","Pikunda","PIK","87/1","-12:1","","Lusako","","","R","","1","1d","xx","","Sangha","","Seidensticker 2021: 426 Pl. 45.16"
"27","693","54","Pikunda","PIK","87/1","-9:5","","Pikunda-Munda","","","W","","1","1b","x","","Sangha","A","Seidensticker 2021: 428 Pl. 47.6"
"89","2825","55","Pikunda","PIK","87/1","-2:70","","Ebambe","","","W","","1","1c","x","","Sangha","",""
"91","677","56","Pikunda","PIK","87/1","-8:2","","Ngbanja (?)","","","W","","4","4a","o","","Sangha","","Seidensticker 2021: 428 Pl. 47.21"
"152","1791","57","Pikunda","PIK","87/501","4","1","modern","x","x","vessel","Z10/2","","","o","","Sangha","",""
"123","1476","58","Dama 1","DAM","85/503","a","","Dama","x","x","","","","","x","potter documented","Ubangi","",""
"124","1477","59","Dama 1","DAM","85/503","b","","Dama","x","x","","","","","","potter documented","Ubangi","",""
"180","","60","Bomane Yangwa","YNG","10 II B","1 (TPL (14))","","Early Pottery Phase","","","undec big vu","","","","","sole big vessel in the feature (different from the others)","Aruwimi","",""
"181","","61","Bomane Yangwa","YNG","10 II B","2 (FPL (66))","","Early Pottery Phase","","","comb impr","","","","o","","Aruwimi","",""
"182","","62","Bomane Yangwa","YNG","10 II B","3 (Bottom (1))","","Early Pottery Phase","","","wavy lines","","","","o","","Aruwimi","",""
"183","","63","Bomane Yangwa","YNG","10 II B","4 (TPL (14)","","Early Pottery Phase","","","comb-stroke","","","","o","","Aruwimi","",""
"184","","64","Baombi II","BAO","13 II","744-55","","Early Pottery Phase","","","","","","","o","","Lindi","",""
"185","","65","Baombi II","BAO","13 II","744-49","","Middle Pottery Phase","","","","","","","o","","Lindi","",""
"186","","66","Ilambi Moke","MOK","10 I A","20","","Middle Pottery Phase","","","","","","","","","Lomami","",""
